bin_center,pdf_value
6.005842696629213684e-04,5.857829824962007592e+01
1.801752808988764214e-03,4.918196536876952507e+01
3.002921348314606734e-03,5.677195593398823092e+01
4.204089887640450121e-03,5.536795436615375365e+01
5.405258426966291774e-03,5.468062225533329013e+01
6.606426966292135161e-03,5.105955552515712270e+01
7.807595505617977681e-03,4.624823074941390644e+01
9.008764044943820201e-03,4.284090754150505376e+01
1.020993258426966359e-02,3.880073586570669164e+01
1.141110112359550524e-02,3.502879135510660547e+01
1.261226966292134863e-02,3.246806013735469065e+01
1.381343820224719202e-02,2.830634802732587829e+01
1.501460674157303540e-02,2.602641712314094491e+01
1.621577528089887532e-02,2.319326769073462202e+01
1.741694382022471871e-02,2.052356918712094114e+01
1.861811235955056210e-02,1.881781205843843452e+01
1.981928089887640548e-02,1.680191726999547441e+01
2.102044943820224887e-02,1.524703792173697714e+01
2.222161797752809226e-02,1.349098819957984396e+01
2.342278651685393218e-02,1.219176286815087096e+01
2.462395505617977556e-02,1.106437056442705291e+01
2.582512359550561895e-02,1.022616067318258004e+01
2.702629213483146234e-02,9.421479177587885445e+00
2.822746067415730573e-02,8.394672060813404002e+00
2.942862921348314564e-02,7.501978526638061417e+00
3.062979775280898903e-02,6.986479443522688015e+00
3.183096629213483242e-02,6.123123255540898313e+00
3.303213483146066887e-02,5.683063062637531360e+00
3.423330337078651919e-02,5.238811820277961218e+00
3.543447191011235564e-02,4.652064896406828964e+00
3.663564044943820597e-02,4.517951313807713198e+00
3.783680898876404242e-02,3.968923835042582837e+00
3.903797752808989274e-02,3.721651917125463171e+00
4.023914606741572919e-02,3.403132158452562894e+00
4.144031460674157952e-02,2.791238937844097379e+00
4.264148314606741597e-02,2.824767333493876542e+00
4.384265168539326629e-02,2.606832761770313311e+00
4.504382022471910274e-02,2.363751893309429697e+00
4.624498876404493919e-02,2.401471338415417378e+00
4.744615730337078952e-02,2.095524728111184398e+00
4.864732584269662596e-02,2.150008371042074984e+00
4.984849438202247629e-02,1.802151266175618494e+00
5.104966292134831274e-02,1.772813919982061837e+00
5.225083146067416306e-02,1.542306199889831753e+00
5.345199999999999951e-02,1.433338914028049915e+00
5.465316853932584984e-02,1.336944776534935375e+00
5.585433707865168629e-02,1.160920699373596099e+00
5.705550561797753661e-02,1.110628105898927576e+00
5.825667415730337306e-02,1.123201254267601312e+00
5.945784269662920951e-02,1.077099710249148634e+00
6.065901123595505984e-02,9.681324243873671298e-01
6.186017977528089629e-02,8.507830396131407236e-01
6.306134831460674661e-02,7.669620504886934809e-01
6.426251685393258306e-02,7.669620504886979218e-01
6.546368539325841951e-02,7.543889021200219647e-01
6.666485393258426984e-02,5.699827260462454470e-01
6.786602247191012016e-02,5.699827260462388967e-01
6.906719101123595661e-02,5.993200722398022151e-01
7.026835955056179306e-02,4.945438358342366669e-01
7.146952808988764339e-02,6.412305668020261695e-01
7.267069662921349371e-02,5.196901325715707065e-01
7.387186516853933016e-02,3.981496983411272894e-01
7.507303370786516661e-02,5.029259347466813468e-01
7.627420224719101693e-02,3.813855005162377632e-01
7.747537078651685338e-02,3.227108081291242270e-01
7.867653932584270371e-02,3.520481543226768872e-01
7.987770786516854016e-02,3.436660554102362042e-01
8.107887640449437661e-02,3.478571048664546028e-01
8.228004494382022693e-02,3.185197586729018315e-01
8.348121348314607726e-02,2.514629673733406734e-01
8.468238202247191371e-02,2.346987695484540060e-01
8.588355056179775016e-02,3.017555608480088081e-01
8.708471910112360048e-02,1.802151266175629207e-01
8.828588764044945081e-02,2.388898190046736258e-01
8.948705617977528726e-02,2.766092641106779326e-01
9.068822471910112371e-02,1.969793244424524747e-01
9.188939325842696015e-02,2.263166706360065783e-01
9.309056179775281048e-02,1.802151266175629207e-01
9.429173033707866081e-02,1.424956815115597242e-01
9.549289887640449725e-02,1.885972255300076839e-01
9.669406741573033370e-02,1.173493847742256430e-01
9.789523595505618403e-02,1.341135825991165709e-01
9.909640449438203436e-02,1.299225331428926766e-01
1.002975730337078708e-01,1.173493847742270030e-01
1.014987415730337073e-01,1.131583353180032891e-01
1.026999101123595576e-01,1.466867309677837572e-01
1.039010786516853940e-01,9.639413749311502577e-02
1.051022471910112444e-01,1.257314836866703367e-01
1.063034157303370808e-01,8.382098912444785332e-02
1.075045842696629173e-01,1.257314836866703367e-01
1.087057528089887676e-01,1.131583353180046075e-01
1.099069213483146179e-01,6.705679129955750828e-02
1.111080898876404544e-01,7.962993966822545788e-02
1.123092584269662908e-01,7.124784075577986209e-02
1.135104269662921411e-01,9.220308803689264421e-02
1.147115955056179915e-01,7.124784075577986209e-02
1.159127640449438279e-01,5.029259347466871061e-02
1.171139325842696643e-01,8.382098912444785332e-02
1.183151011235955008e-01,8.801203858066922181e-02
1.195162696629213511e-01,7.543889021200307632e-02
1.207174382022472015e-01,4.191049456222344094e-02
1.219186067415730379e-01,4.191049456222392666e-02
1.231197752808988743e-01,6.705679129955750828e-02
1.243209438202247247e-01,5.867469238711350149e-02
1.255221123595505750e-01,5.448364293089047461e-02
1.267232808988764114e-01,4.610154401844632210e-02
1.279244494382022479e-01,4.610154401844632210e-02
1.291256179775280843e-01,5.867469238711350149e-02
1.303267865168539208e-01,3.771944510600066386e-02
1.315279550561797850e-01,5.029259347466871061e-02
1.327291235955056214e-01,4.191049456222392666e-02
1.339302921348314579e-01,5.448364293089111299e-02
1.351314606741573221e-01,3.352839564977836556e-02
1.363326292134831585e-01,3.771944510600153816e-02
1.375337977528089950e-01,4.610154401844632210e-02
1.387349662921348314e-01,4.191049456222392666e-02
1.399361348314606679e-01,3.352839564977836556e-02
1.411373033707865321e-01,3.771944510600153816e-02
1.423384719101123685e-01,5.448364293089111299e-02
1.435396404494382050e-01,3.771944510600153816e-02
1.447408089887640414e-01,2.933734619355675075e-02
1.459419775280899056e-01,2.514629673733377938e-02
1.471431460674157421e-01,3.352839564977914272e-02
1.483443146067415785e-01,2.095524728111196333e-02
1.495454831460674150e-01,1.676419782488957136e-02
1.507466516853932514e-01,4.191049456222295695e-03
1.519478202247191156e-01,1.676419782488957136e-02
1.531489887640449521e-01,8.382098912444785679e-03
1.543501573033707885e-01,4.191049456222392840e-03
1.555513258426966250e-01,3.352839564977914272e-02
1.567524943820224892e-01,2.933734619355607073e-02
1.579536629213483256e-01,1.257314836866717765e-02
1.591548314606741621e-01,2.095524728111196333e-02
1.603559999999999985e-01,1.676419782488957136e-02
1.615571685393258350e-01,4.191049456222295695e-03
1.627583370786516992e-01,4.191049456222392840e-03
1.639595056179775356e-01,1.257314836866717765e-02
1.651606741573033721e-01,2.095524728111196333e-02
1.663618426966292085e-01,8.382098912444785679e-03
1.675630112359550727e-01,2.933734619355607073e-02
1.687641797752809092e-01,1.257314836866717765e-02
1.699653483146067456e-01,4.191049456222392840e-03
1.711665168539325821e-01,8.382098912444785679e-03
1.723676853932584185e-01,0.000000000000000000e+00
1.735688539325842827e-01,0.000000000000000000e+00
1.747700224719101192e-01,8.382098912444785679e-03
1.759711910112359556e-01,8.382098912444785679e-03
1.771723595505618198e-01,1.257314836866688969e-02
1.783735280898876563e-01,0.000000000000000000e+00
1.795746966292134927e-01,8.382098912444785679e-03
1.807758651685393292e-01,2.095524728111196333e-02
1.819770337078651656e-01,0.000000000000000000e+00
1.831782022471910021e-01,2.095524728111148108e-02
1.843793707865168663e-01,4.191049456222392840e-03
1.855805393258427027e-01,8.382098912444785679e-03
1.867817078651685392e-01,4.191049456222392840e-03
1.879828764044944034e-01,0.000000000000000000e+00
1.891840449438202398e-01,0.000000000000000000e+00
1.903852134831460763e-01,0.000000000000000000e+00
1.915863820224719127e-01,1.257314836866717765e-02
1.927875505617977492e-01,0.000000000000000000e+00
1.939887191011235856e-01,0.000000000000000000e+00
1.951898876404494498e-01,0.000000000000000000e+00
1.963910561797752863e-01,4.191049456222392840e-03
1.975922247191011227e-01,0.000000000000000000e+00
1.987933932584269869e-01,4.191049456222295695e-03
1.999945617977528234e-01,0.000000000000000000e+00
2.011957303370786598e-01,4.191049456222392840e-03
2.023968988764044963e-01,0.000000000000000000e+00
2.035980674157303327e-01,4.191049456222295695e-03
2.047992359550561969e-01,8.382098912444785679e-03
2.060004044943820334e-01,0.000000000000000000e+00
2.072015730337078698e-01,0.000000000000000000e+00
2.084027415730337063e-01,0.000000000000000000e+00
2.096039101123595705e-01,0.000000000000000000e+00
2.108050786516854069e-01,8.382098912444785679e-03
2.120062471910112434e-01,0.000000000000000000e+00
2.132074157303370798e-01,4.191049456222392840e-03
2.144085842696629163e-01,4.191049456222295695e-03
2.156097528089887805e-01,0.000000000000000000e+00
2.168109213483146169e-01,8.382098912444785679e-03
2.180120898876404534e-01,4.191049456222392840e-03
2.192132584269662898e-01,0.000000000000000000e+00
2.204144269662921540e-01,0.000000000000000000e+00
2.216155955056179905e-01,4.191049456222392840e-03
2.228167640449438269e-01,0.000000000000000000e+00
2.240179325842696634e-01,0.000000000000000000e+00
2.252191011235954998e-01,0.000000000000000000e+00
2.264202696629213640e-01,0.000000000000000000e+00
2.276214382022472005e-01,0.000000000000000000e+00
2.288226067415730369e-01,0.000000000000000000e+00
2.300237752808989011e-01,4.191049456222295695e-03
2.312249438202247376e-01,4.191049456222392840e-03
2.324261123595505740e-01,0.000000000000000000e+00
2.336272808988764105e-01,0.000000000000000000e+00
2.348284494382022469e-01,0.000000000000000000e+00
2.360296179775280834e-01,0.000000000000000000e+00
2.372307865168539476e-01,0.000000000000000000e+00
2.384319550561797840e-01,8.382098912444785679e-03
2.396331235955056205e-01,4.191049456222392840e-03
2.408342921348314847e-01,4.191049456222295695e-03
2.420354606741573211e-01,0.000000000000000000e+00
2.432366292134831576e-01,0.000000000000000000e+00
2.444377977528089940e-01,0.000000000000000000e+00
2.456389662921348305e-01,0.000000000000000000e+00
2.468401348314606669e-01,0.000000000000000000e+00
2.480413033707865311e-01,0.000000000000000000e+00
2.492424719101123676e-01,0.000000000000000000e+00
2.504436404494382318e-01,0.000000000000000000e+00
2.516448089887640682e-01,0.000000000000000000e+00
2.528459775280899047e-01,0.000000000000000000e+00
2.540471460674157411e-01,0.000000000000000000e+00
2.552483146067415776e-01,0.000000000000000000e+00
2.564494831460674140e-01,0.000000000000000000e+00
2.576506516853932505e-01,0.000000000000000000e+00
2.588518202247190869e-01,0.000000000000000000e+00
2.600529887640449234e-01,0.000000000000000000e+00
2.612541573033708153e-01,0.000000000000000000e+00
2.624553258426966518e-01,0.000000000000000000e+00
2.636564943820224882e-01,0.000000000000000000e+00
2.648576629213483247e-01,4.191049456222392840e-03
2.660588314606741611e-01,0.000000000000000000e+00
2.672599999999999976e-01,0.000000000000000000e+00
2.684611685393258340e-01,4.191049456222392840e-03
2.696623370786516705e-01,0.000000000000000000e+00
2.708635056179775624e-01,0.000000000000000000e+00
2.720646741573033989e-01,0.000000000000000000e+00
2.732658426966292353e-01,0.000000000000000000e+00
2.744670112359550718e-01,0.000000000000000000e+00
2.756681797752809082e-01,4.191049456222392840e-03
2.768693483146067447e-01,0.000000000000000000e+00
2.780705168539325811e-01,0.000000000000000000e+00
2.792716853932584176e-01,0.000000000000000000e+00
2.804728539325842540e-01,0.000000000000000000e+00
2.816740224719101460e-01,0.000000000000000000e+00
2.828751910112359824e-01,0.000000000000000000e+00
2.840763595505618189e-01,0.000000000000000000e+00
2.852775280898876553e-01,0.000000000000000000e+00
2.864786966292134918e-01,0.000000000000000000e+00
2.876798651685393282e-01,0.000000000000000000e+00
2.888810337078651647e-01,0.000000000000000000e+00
2.900822022471910011e-01,0.000000000000000000e+00
2.912833707865168931e-01,0.000000000000000000e+00
2.924845393258427295e-01,0.000000000000000000e+00
2.936857078651685660e-01,0.000000000000000000e+00
2.948868764044944024e-01,0.000000000000000000e+00
2.960880449438202389e-01,0.000000000000000000e+00
2.972892134831460753e-01,0.000000000000000000e+00
2.984903820224719118e-01,0.000000000000000000e+00
2.996915505617977482e-01,0.000000000000000000e+00
3.008927191011235847e-01,0.000000000000000000e+00
3.020938876404494211e-01,0.000000000000000000e+00
3.032950561797753131e-01,0.000000000000000000e+00
3.044962247191011495e-01,0.000000000000000000e+00
3.056973932584269860e-01,4.191049456222392840e-03
3.068985617977528224e-01,0.000000000000000000e+00
3.080997303370786589e-01,0.000000000000000000e+00
3.093008988764044953e-01,0.000000000000000000e+00
3.105020674157303318e-01,0.000000000000000000e+00
3.117032359550561682e-01,0.000000000000000000e+00
3.129044044943820602e-01,0.000000000000000000e+00
3.141055730337078966e-01,0.000000000000000000e+00
3.153067415730337331e-01,0.000000000000000000e+00
3.165079101123595695e-01,4.191049456222392840e-03
3.177090786516854060e-01,0.000000000000000000e+00
3.189102471910112424e-01,0.000000000000000000e+00
3.201114157303370789e-01,0.000000000000000000e+00
3.213125842696629153e-01,0.000000000000000000e+00
3.225137528089887518e-01,0.000000000000000000e+00
3.237149213483145882e-01,0.000000000000000000e+00
3.249160898876404802e-01,0.000000000000000000e+00
3.261172584269663166e-01,0.000000000000000000e+00
3.273184269662921531e-01,0.000000000000000000e+00
3.285195955056179895e-01,0.000000000000000000e+00
3.297207640449438260e-01,0.000000000000000000e+00
3.309219325842696624e-01,0.000000000000000000e+00
3.321231011235954989e-01,0.000000000000000000e+00
3.333242696629213353e-01,0.000000000000000000e+00
3.345254382022472273e-01,0.000000000000000000e+00
3.357266067415730637e-01,0.000000000000000000e+00
3.369277752808989002e-01,0.000000000000000000e+00
3.381289438202247366e-01,0.000000000000000000e+00
3.393301123595505731e-01,0.000000000000000000e+00
3.405312808988764095e-01,0.000000000000000000e+00
3.417324494382022460e-01,0.000000000000000000e+00
3.429336179775280824e-01,0.000000000000000000e+00
3.441347865168539188e-01,0.000000000000000000e+00
3.453359550561798108e-01,0.000000000000000000e+00
3.465371235955056473e-01,0.000000000000000000e+00
3.477382921348314837e-01,0.000000000000000000e+00
3.489394606741573202e-01,0.000000000000000000e+00
3.501406292134831566e-01,0.000000000000000000e+00
3.513417977528089930e-01,0.000000000000000000e+00
3.525429662921348295e-01,0.000000000000000000e+00
3.537441348314606659e-01,4.191049456222392840e-03
3.549453033707865579e-01,0.000000000000000000e+00
3.561464719101123944e-01,0.000000000000000000e+00
3.573476404494382308e-01,0.000000000000000000e+00
3.585488089887640673e-01,0.000000000000000000e+00
3.597499775280899037e-01,0.000000000000000000e+00
3.609511460674157401e-01,0.000000000000000000e+00
3.621523146067415766e-01,0.000000000000000000e+00
3.633534831460674130e-01,0.000000000000000000e+00
3.645546516853932495e-01,0.000000000000000000e+00
3.657558202247190859e-01,0.000000000000000000e+00
3.669569887640449779e-01,0.000000000000000000e+00
3.681581573033708144e-01,0.000000000000000000e+00
3.693593258426966508e-01,0.000000000000000000e+00
3.705604943820224872e-01,0.000000000000000000e+00
3.717616629213483237e-01,0.000000000000000000e+00
3.729628314606741601e-01,0.000000000000000000e+00
3.741639999999999966e-01,0.000000000000000000e+00
3.753651685393258330e-01,0.000000000000000000e+00
3.765663370786517250e-01,0.000000000000000000e+00
3.777675056179775614e-01,0.000000000000000000e+00
3.789686741573033979e-01,0.000000000000000000e+00
3.801698426966292343e-01,0.000000000000000000e+00
3.813710112359550708e-01,0.000000000000000000e+00
3.825721797752809072e-01,0.000000000000000000e+00
3.837733483146067437e-01,0.000000000000000000e+00
3.849745168539325801e-01,0.000000000000000000e+00
3.861756853932584166e-01,0.000000000000000000e+00
3.873768539325842530e-01,0.000000000000000000e+00
3.885780224719101450e-01,0.000000000000000000e+00
3.897791910112359814e-01,0.000000000000000000e+00
3.909803595505618179e-01,4.191049456222392840e-03
3.921815280898876543e-01,0.000000000000000000e+00
3.933826966292134908e-01,0.000000000000000000e+00
3.945838651685393272e-01,0.000000000000000000e+00
3.957850337078651637e-01,0.000000000000000000e+00
3.969862022471910001e-01,0.000000000000000000e+00
3.981873707865168921e-01,0.000000000000000000e+00
3.993885393258427285e-01,0.000000000000000000e+00
4.005897078651685650e-01,0.000000000000000000e+00
4.017908764044944014e-01,0.000000000000000000e+00
4.029920449438202379e-01,0.000000000000000000e+00
4.041932134831460743e-01,0.000000000000000000e+00
4.053943820224719108e-01,0.000000000000000000e+00
4.065955505617977472e-01,0.000000000000000000e+00
4.077967191011235837e-01,0.000000000000000000e+00
4.089978876404494756e-01,0.000000000000000000e+00
4.101990561797753121e-01,0.000000000000000000e+00
4.114002247191011485e-01,0.000000000000000000e+00
4.126013932584269850e-01,0.000000000000000000e+00
4.138025617977528214e-01,0.000000000000000000e+00
4.150037303370786579e-01,0.000000000000000000e+00
4.162048988764044943e-01,0.000000000000000000e+00
4.174060674157303308e-01,0.000000000000000000e+00
4.186072359550562227e-01,0.000000000000000000e+00
4.198084044943820592e-01,0.000000000000000000e+00
4.210095730337078956e-01,0.000000000000000000e+00
4.222107415730337321e-01,0.000000000000000000e+00
4.234119101123595685e-01,0.000000000000000000e+00
4.246130786516854050e-01,0.000000000000000000e+00
4.258142471910112414e-01,0.000000000000000000e+00
4.270154157303370779e-01,0.000000000000000000e+00
4.282165842696629143e-01,0.000000000000000000e+00
4.294177528089887508e-01,0.000000000000000000e+00
4.306189213483146427e-01,0.000000000000000000e+00
4.318200898876404792e-01,0.000000000000000000e+00
4.330212584269663156e-01,0.000000000000000000e+00
4.342224269662921521e-01,0.000000000000000000e+00
4.354235955056179885e-01,0.000000000000000000e+00
4.366247640449438250e-01,0.000000000000000000e+00
4.378259325842696614e-01,0.000000000000000000e+00
4.390271011235954979e-01,0.000000000000000000e+00
4.402282696629213898e-01,0.000000000000000000e+00
4.414294382022472263e-01,0.000000000000000000e+00
4.426306067415730627e-01,0.000000000000000000e+00
4.438317752808988992e-01,4.191049456222392840e-03
4.450329438202247356e-01,0.000000000000000000e+00
4.462341123595505721e-01,0.000000000000000000e+00
4.474352808988764085e-01,0.000000000000000000e+00
4.486364494382022450e-01,0.000000000000000000e+00
4.498376179775280814e-01,0.000000000000000000e+00
4.510387865168539179e-01,0.000000000000000000e+00
4.522399550561798098e-01,0.000000000000000000e+00
4.534411235955056463e-01,0.000000000000000000e+00
4.546422921348314827e-01,0.000000000000000000e+00
4.558434606741573192e-01,0.000000000000000000e+00
4.570446292134831556e-01,0.000000000000000000e+00
4.582457977528089921e-01,0.000000000000000000e+00
4.594469662921348285e-01,0.000000000000000000e+00
4.606481348314607205e-01,0.000000000000000000e+00
4.618493033707865569e-01,0.000000000000000000e+00
4.630504719101123934e-01,0.000000000000000000e+00
4.642516404494382298e-01,0.000000000000000000e+00
4.654528089887640663e-01,0.000000000000000000e+00
4.666539775280899027e-01,0.000000000000000000e+00
4.678551460674157392e-01,0.000000000000000000e+00
4.690563146067415756e-01,0.000000000000000000e+00
4.702574831460674121e-01,0.000000000000000000e+00
4.714586516853932485e-01,0.000000000000000000e+00
4.726598202247191405e-01,0.000000000000000000e+00
4.738609887640449769e-01,0.000000000000000000e+00
4.750621573033708134e-01,0.000000000000000000e+00
4.762633258426966498e-01,0.000000000000000000e+00
4.774644943820224863e-01,0.000000000000000000e+00
4.786656629213483227e-01,0.000000000000000000e+00
4.798668314606741592e-01,0.000000000000000000e+00
4.810679999999999956e-01,0.000000000000000000e+00
4.822691685393258876e-01,0.000000000000000000e+00
4.834703370786517240e-01,0.000000000000000000e+00
4.846715056179775605e-01,0.000000000000000000e+00
4.858726741573033969e-01,0.000000000000000000e+00
4.870738426966292334e-01,0.000000000000000000e+00
4.882750112359550698e-01,0.000000000000000000e+00
4.894761797752809063e-01,0.000000000000000000e+00
4.906773483146067427e-01,0.000000000000000000e+00
4.918785168539325792e-01,0.000000000000000000e+00
